IDENT_NUMVEH,IDENT_MEN,NUM_VEH,pond_veh,cylindree_fin,critair,ANNEE_1mec,age,KVKM1ANV,KVCONS,energie_groupe,Pro_Perso,NEWTYPMEN,AGEPR,decile_rev,CSMEN,REG_res,STATUTCOM_UU_RES,pop_10min_voiture_train_res,DIPDETPR,NENFHORS
110000032600001,1100000326000,1,1715.123018,1.6,3,2009,114.0,29786.625173,5.0,VT,Perso,Couple avec au moins un enfant,49,9,48.0,Ile-de-France,C,100,51.0,2
110000032600002,1100000326000,2,1715.123018,0.0,N,1996,267.0,3809.060676,5.0,VT,Perso,Couple avec au moins un enfant,49,9,48.0,Ile-de-France,C,100,51.0,2
110000033400001,1100000334000,1,1990.9765025,1.1,2,2012,80.0,9054.2747664,5.2,VT,Perso,Couple avec au moins un enfant,48,9,38.0,Ile-de-France,B,100,21.0,1
110000033500001,1100000335000,1,1361.1064327,1.0,3,1999,234.0,15514.732243,6.7,VT,Perso,Couple avec au moins un enfant,36,9,54.0,Ile-de-France,B,100,32.0,0
110000033500002,1100000335000,2,1361.1064327,1.6,2,2012,79.0,27454.983891,5.2,VT,Perso,Couple avec au moins un enfant,36,9,54.0,Ile-de-France,B,100,32.0,0
110000034400002,1100000344000,2,3336.4953831,1.2,1,2018,9.0,9712.0757256,6.0,VT,Perso,Couple avec au moins un enfant,51,9,37.0,Ile-de-France,B,100,17.0,0
110000034400001,1100000344000,1,3336.4953831,1.2,1,2015,37.0,10983.606031,6.0,VT,Perso,Couple avec au moins un enfant,51,9,37.0,Ile-de-France,B,100,17.0,0
110000034400003,1100000344000,3,3336.4953831,1.5,2,2018,6.0,10899.645487,6.2,VT,Perso,Couple avec au moins un enfant,51,9,37.0,Ile-de-France,B,100,17.0,0
110000034400004,1100000344000,4,3336.4953831,1.4,3,2008,126.0,9800.0,5.9,VT,Perso,Couple avec au moins un enfant,51,9,37.0,Ile-de-France,B,100,17.0,0
110000035500001,1100000355000,1,2288.6995933,1.9,4,2005,164.0,14647.461506,5.0,VT,Perso,Couple avec au moins un enfant,45,10,38.0,Ile-de-France,B,100,14.0,0
110000036400001,1100000364000,1,1940.6758028,1.0,3,1997,261.0,1085.2380882,5.0,VT,Perso,Couple sans enfant,84,2,64.0,Ile-de-France,B,100,71.0,3
