critair,count,mean,std,min,1%,median,99%,max
1,3044.0,10046.158456466144,6061.342128804196,41.671251719,687.98298056,10983.4763,27215.379276,139779.40826
2,5822.0,14547.724925117363,8364.035501061142,0.4761854374,856.86128393,14349.533279,39691.125058,112359.53988
3,5145.0,10525.572470288025,7513.85014365795,5.0,453.75156152,9312.7428181,32523.605769,148756.78954
4,2015.0,10059.248383579237,8498.15198447797,10.0,547.94878577,8877.1031746,30000.0,151260.83072
5,652.0,8322.189375359998,5957.1813523087,4.8743010968,200.0,7473.1734406,26801.66882,50000.0
E,39.0,7407.79207914517,3208.967200071559,700.0,700.0,9370.7787114,12000.0,12000.0
N,1170.0,5690.699680846994,7957.707258345406,0.0,31.935361839,3643.4605015,30000.0,118870.29222
